,,,Total,Total,Total,Not a high school graduate,Not a high school graduate,Not a high school graduate,High school graduate,High school graduate,High school graduate,Some college/associate's degree,Some college/associate's degree,Some college/associate's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Advanced degree,Advanced degree,Advanced degree
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error
Total,Male,1983,19175.0,63816.0,12052.0,12376.0,160.0,16728.0,24449.0,108.0,18052.0,12261.0,187.0,27239.0,8010.0,295.0,33635.0,6719.0,388.0,
Total,Male,1982,18244.0,63489.0,11513.0,12868.0,144.0,16160.0,24059.0,107.0,17108.0,12103.0,172.0,25758.0,7865.0,285.0,32109.0,6594.0,390.0,
Total,Male,1981,17542.0,63547.0,11668.0,13701.0,146.0,15900.0,24435.0,101.0,16870.0,11784.0,168.0,24353.0,7393.0,273.0,30072.0,6235.0,376.0,
Total,Male,1980,16382.0,62825.0,11042.0,14273.0,129.0,15002.0,24023.0,15871.0,11663.0,158.0,23340.0,7132.0,272.0,27846.0,5733.0,360.0,,
Total,Male,1979,15430.0,62464.0,10628.0,14711.0,102.0,14317.0,23318.0,14716.0,11781.0,145.0,21482.0,6889.0,260.0,26411.0,5765.0,358.0,,
Total,Male,1978,14154.0,60586.0,9894.0,14550.0,13188.0,22650.0,13382.0,11352.0,137.0,19861.0,6611.0,250.0,24274.0,5422.0,351.0,,,
Total,Male,1977,12888.0,59441.0,8939.0,15369.0,12092.0,21846.0,12393.0,10848.0,122.0,18187.0,6341.0,210.0,22786.0,5038.0,311.0,,,
Total,Male,1976,11923.0,58419.0,8522.0,15634.0,11189.0,21499.0,11376.0,10282.0,122.0,16714.0,6135.0,186.0,21202.0,4868.0,301.0,,,
Total,Male,1975,11091.0,57297.0,7843.0,15613.0,10475.0,21347.0,10805.0,9851.0,112.0,15758.0,5960.0,188.0,19672.0,4526.0,283.0,,,
Total,Female,2019,48336.0,79447.0,383.0,21869.0,4340.0,711.0,31123.0,17618.0,412.0,36214.0,23543.0,439.0,59259.0,21325.0,795.0,85623.0,12620.0,1563.0
Total,Female,2018,45136.0,78265.0,314.0,19068.0,4537.0,373.0,30103.0,17889.0,457.0,33771.0,23600.0,387.0,57551.0,20148.0,718.0,78664.0,12088.0,1116.0
Total,Female,2017,43240.0,76999.0,248.0,18885.0,4643.0,367.0,29158.0,17679.0,403.0,33063.0,23775.0,325.0,53804.0,19495.0,493.0,78142.0,11405.0,962.0
Total,Female,2016,41429.0,76500.0,236.0,19974.0,4586.0,700.0,27242.0,17988.0,245.0,32391.0,24236.0,324.0,52461.0,18645.0,523.0,74656.0,11043.0,935.0
Total,Female,2015,39929.0,75811.0,236.0,17162.0,4949.0,381.0,26832.0,17756.0,289.0,31970.0,24382.0,336.0,50856.0,18061.0,522.0,72006.0,10660.0,962.0
Total,Female,2014,37538.0,74597.0,207.0,17915.0,4941.0,621.0,26275.0,18060.0,324.0,30064.0,23966.0,300.0,48650.0,17580.0,428.0,65814.0,10049.0,789.0
Total,Female,2013,36664.0,73454.0,223.0,16964.0,4675.0,501.0,26322.0,18106.0,367.0,29242.0,23840.0,321.0,47209.0,17218.0,418.0,65242.0,9614.0,924.0
Total,Female,2012,36052.0,73169.0,195.0,15995.0,4847.0,437.0,24991.0,18132.0,228.0,28588.0,24202.0,226.0,47477.0,16773.0,463.0,67182.0,9213.0,917.0
Total,Female,2011,35205.0,72209.0,187.0,14643.0,5234.0,188.0,24460.0,18328.0,226.0,28275.0,23529.0,203.0,47418.0,16419.0,482.0,65915.0,8697.0,884.0
Total,Female,2010,34160.0,71799.0,161.0,14959.0,5112.0,219.0,24153.0,18574.0,185.0,28195.0,23626.0,207.0,45015.0,15885.0,422.0,63515.0,8602.0,690.0
Total,Female,2009,33797.0,71907.0,176.0,15514.0,5232.0,341.0,24304.0,19253.0,215.0,28207.0,23344.0,238.0,43589.0,15900.0,389.0,64771.0,8176.0,898.0
Total,Female,2008,32922.0,73262.0,162.0,14521.0,5621.0,210.0,24329.0,19892.0,218.0,27708.0,23833.0,213.0,44078.0,15789.0,441.0,60301.0,8126.0,690.0
Total,Female,2007,32899.0,72805.0,164.0,15315.0,5550.0,277.0,24234.0,19997.0,224.0,28773.0,23660.0,284.0,43127.0,15722.0,381.0,59273.0,7873.0,655.0
Total,Female,2006,32015.0,72128.0,178.0,15352.0,6110.0,345.0,23236.0,20447.0,194.0,28126.0,23121.0,275.0,43302.0,15237.0,482.0,59636.0,7213.0,843.0
Total,Female,2005,29897.0,70956.0,141.0,14294.0,6044.0,200.0,22208.0,20304.0,156.0,26348.0,23260.0,202.0,40684.0,14440.0,412.0,55553.0,6906.0,655.0
Total,Female,2004,28722.0,70320.0,147.0,13658.0,6182.0,179.0,21954.0,20359.0,202.0,25003.0,22904.0,177.0,38806.0,14173.0,388.0,54559.0,6702.0,834.0
Total,Female,2003,28367.0,69790.0,147.0,14214.0,6108.0,255.0,21659.0,20772.0,182.0,24848.0,22514.0,193.0,38447.0,13823.0,405.0,53579.0,6572.0,808.0
Total,Female,2002,27271.0,69735.0,143.0,13459.0,6404.0,230.0,21141.0,21233.0,200.0,23905.0,22176.0,172.0,37909.0,13589.0,448.0,50756.0,6330.0,675.0
Total,Female,2001,26962.0,69487.0,162.0,14524.0,6720.0,569.0,20489.0,21402.0,232.0,24268.0,21824.0,241.0,36913.0,13472.0,396.0,51160.0,6068.0,790.0
Total,Female,2000,25228.0,69647.0,131.0,12739.0,6890.0,360.0,19162.0,21538.0,152.0,22779.0,22348.0,161.0,35328.0,13113.0,357.0,49368.0,5757.0,842.0
Total,Female,1999,23584.0,69094.0,162.0,12203.0,6929.0,597.0,18112.0,22075.0,193.0,21675.0,21808.0,212.0,32547.0,12680.0,465.0,46369.0,5602.0,801.0
Total,Female,1998,22818.0,66840.0,180.0,11353.0,6657.0,401.0,17898.0,21832.0,237.0,21056.0,20867.0,273.0,31452.0,12332.0,467.0,44954.0,5153.0,1018.0
Total,Female,1997,21528.0,65771.0,163.0,10725.0,6614.0,415.0,16906.0,21824.0,179.0,19856.0,20442.0,277.0,30119.0,12027.0,460.0,42744.0,4863.0,863.0
Total,Female,1996,20570.0,64748.0,165.0,10421.0,6492.0,193.0,16161.0,21942.0,160.0,18933.0,20202.0,406.0,28701.0,11466.0,421.0,42625.0,4646.0,1333.0
Total,Female,1995,19414.0,63587.0,144.0,9790.0,6678.0,208.0,15970.0,21073.0,263.0,17962.0,20224.0,213.0,26841.0,11034.0,341.0,37813.0,4578.0,702.0
