,,,Total,Total,Total,Not a high school graduate,Not a high school graduate,Not a high school graduate,High school graduate,High school graduate,High school graduate,Some college/associate's degree,Some college/associate's degree,Some college/associate's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Advanced degree,Advanced degree,Advanced degree
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error
Non-Hispanic White,Both Sexes,2002,39220.0,105706.0,199.0,19423.0,7380.0,353.0,28756.0,32365.0,240.0,32318.0,32344.0,250.0,53185.0,22221.0,551.0,74122.0,11395.0,882.0
Non-Hispanic White,Both Sexes,2001,38711.0,106384.0,195.0,19659.0,7812.0,466.0,28426.0,33050.0,241.0,31905.0,32118.0,240.0,52300.0,22204.0,514.0,74932.0,11198.0,1017.0
Non-Hispanic White,Both Sexes,2000,37346.0,106709.0,187.0,19147.0,7957.0,468.0,27122.0,33231.0,180.0,31217.0,32836.0,243.0,51351.0,21824.0,528.0,72356.0,10859.0,1027.0
Non-Hispanic White,Both Sexes,1999,35010.0,106139.0,229.0,17098.0,8171.0,444.0,25924.0,33983.0,229.0,29765.0,32155.0,326.0,47480.0,21261.0,619.0,68946.0,10569.0,1274.0
Non-Hispanic White,Both Sexes,1998,33336.0,105523.0,229.0,16837.0,8488.0,379.0,24801.0,34344.0,249.0,23897.0,31459.0,364.0,45342.0,21175.0,630.0,65461.0,10059.0,1153.0
Non-Hispanic White,Male,2019,75888.0,54723.0,660.0,34672.0,2235.0,1176.0,49578.0,14670.0,624.0,58996.0,15056.0,863.0,93400.0,14709.0,1385.0,134870.0,8051.0,2760.0
Non-Hispanic White,Male,2018,72737.0,54698.0,640.0,33657.0,2360.0,1538.0,49509.0,14761.0,714.0,56700.0,15278.0,987.0,90455.0,14407.0,1364.0,126583.0,7890.0,2452.0
Non-Hispanic White,Male,2017,69548.0,55091.0,466.0,32263.0,2530.0,949.0,48476.0,15170.0,637.0,53779.0,15353.0,604.0,85885.0,14239.0,912.0,123866.0,7797.0,2000.0
Non-Hispanic White,Male,2016,67180.0,54893.0,451.0,31668.0,2543.0,1112.0,46416.0,15315.0,555.0,51782.0,15718.0,577.0,86312.0,13676.0,1037.0,118068.0,7639.0,1815.0
Non-Hispanic White,Male,2015,65206.0,55185.0,442.0,33263.0,2799.0,1205.0,45748.0,15274.0,545.0,49241.0,15920.0,510.0,83548.0,13498.0,1056.0,116321.0,7692.0,1782.0
Non-Hispanic White,Male,2014,63100.0,54432.0,429.0,35105.0,2752.0,1830.0,43312.0,15583.0,441.0,49712.0,15606.0,616.0,80075.0,13117.0,955.0,113515.0,7372.0,1779.0
Non-Hispanic White,Male,2013,60804.0,54529.0,478.0,32329.0,2717.0,1823.0,40991.0,15819.0,396.0,46713.0,15873.0,582.0,75345.0,12910.0,1020.0,120004.0,7208.0,2318.0
Non-Hispanic White,Male,2012,60396.0,54569.0,396.0,28026.0,2784.0,1003.0,42157.0,15388.0,502.0,46477.0,16175.0,512.0,75826.0,13080.0,838.0,115598.0,7139.0,1803.0
Non-Hispanic White,Male,2011,59584.0,54244.0,379.0,27872.0,2978.0,819.0,42772.0,15644.0,568.0,45443.0,15675.0,434.0,75168.0,12900.0,729.0,113244.0,7045.0,1798.0
Non-Hispanic White,Male,2010,56719.0,54268.0,341.0,27427.0,2989.0,1092.0,39449.0,15938.0,434.0,43567.0,15564.0,378.0,73425.0,12791.0,777.0,107361.0,6987.0,1515.0
Non-Hispanic White,Male,2009,55318.0,55638.0,340.0,25695.0,3187.0,864.0,38160.0,17015.0,353.0,43802.0,15981.0,433.0,72305.0,12708.0,808.0,107872.0,6746.0,1627.0
Non-Hispanic White,Male,2008,56538.0,56822.0,339.0,26479.0,3654.0,691.0,39405.0,17206.0,390.0,44237.0,16439.0,400.0,76613.0,12562.0,872.0,107498.0,6960.0,1532.0
Non-Hispanic White,Male,2007,55662.0,57080.0,331.0,27874.0,3716.0,784.0,39764.0,17309.0,397.0,43835.0,16684.0,364.0,75214.0,12597.0,842.0,104317.0,6772.0,1576.0
Non-Hispanic White,Male,2006,54843.0,56843.0,352.0,26100.0,4289.0,450.0,40180.0,17470.0,494.0,43589.0,16024.0,438.0,73376.0,12321.0,888.0,104031.0,6738.0,1606.0
Non-Hispanic White,Male,2005,53263.0,56675.0,359.0,25511.0,4127.0,503.0,38134.0,17507.0,406.0,43137.0,16456.0,491.0,70932.0,12048.0,906.0,104107.0,6535.0,1806.0
Non-Hispanic White,Male,2004,50597.0,55930.0,323.0,23590.0,4204.0,633.0,36324.0,17568.0,367.0,41467.0,15952.0,387.0,66527.0,11739.0,743.0,100533.0,6467.0,1765.0
Non-Hispanic White,Male,2003,49386.0,55774.0,305.0,22957.0,4224.0,401.0,35589.0,17225.0,315.0,40316.0,16048.0,394.0,66390.0,11849.0,838.0,95029.0,6427.0,1465.0
Non-Hispanic White,Male,2002,48817.0,55994.0,329.0,23250.0,4580.0,529.0,34909.0,17218.0,375.0,40368.0,16121.0,440.0,66638.0,11764.0,878.0,93686.0,6309.0,1429.0
Non-Hispanic White,Male,2001,47973.0,56528.0,316.0,23096.0,4749.0,549.0,34627.0,17672.0,352.0,39133.0,16114.0,370.0,66196.0,11692.0,881.0,92954.0,6299.0,1613.0
Non-Hispanic White,Male,2000,47084.0,56675.0,318.0,23296.0,4763.0,706.0,33669.0,17733.0,281.0,39379.0,16435.0,431.0,65459.0,11594.0,899.0,90150.0,6149.0,1641.0
Non-Hispanic White,Male,1999,44403.0,56071.0,386.0,20502.0,4787.0,466.0,32532.0,17844.0,359.0,37651.0,16087.0,583.0,60564.0,11283.0,1018.0,86004.0,6070.0,2061.0
Non-Hispanic White,Male,1998,41612.0,56246.0,372.0,20781.0,5152.0,584.0,30429.0,18048.0,374.0,29555.0,15849.0,625.0,57346.0,11335.0,1042.0,79524.0,5862.0,1709.0
Non-Hispanic White,Female,2019,51591.0,48810.0,525.0,21892.0,1258.0,1404.0,32961.0,9852.0,522.0,37958.0,14631.0,624.0,60867.0,14387.0,996.0,84645.0,8680.0,1967.0
Non-Hispanic White,Female,2018,47928.0,48659.0,413.0,17849.0,1424.0,708.0,32350.0,10277.0,639.0,34384.0,14661.0,491.0,58885.0,13904.0,884.0,77623.0,8391.0,1315.0
Non-Hispanic White,Female,2017,46110.0,48282.0,326.0,18522.0,1502.0,642.0,30718.0,10313.0,507.0,33840.0,14788.0,391.0,55450.0,13533.0,641.0,77446.0,8144.0,1150.0
Non-Hispanic White,Female,2016,44556.0,48441.0,321.0,18777.0,1437.0,886.0,28989.0,10656.0,361.0,33801.0,15235.0,412.0,53598.0,13240.0,659.0,75942.0,7871.0,1193.0
Non-Hispanic White,Female,2015,42070.0,48771.0,294.0,15942.0,1595.0,548.0,28315.0,10646.0,416.0,32304.0,15772.0,365.0,51126.0,13009.0,616.0,71035.0,7746.0,1080.0
Non-Hispanic White,Female,2014,39860.0,48324.0,261.0,18662.0,1591.0,1463.0,27637.0,10999.0,449.0,31276.0,15630.0,383.0,48291.0,12665.0,472.0,66161.0,7436.0,891.0
Non-Hispanic White,Female,2013,39084.0,48284.0,297.0,16062.0,1418.0,914.0,28041.0,11300.0,548.0,29999.0,15815.0,411.0,48070.0,12526.0,515.0,65190.0,7223.0,1108.0
Non-Hispanic White,Female,2012,38240.0,48405.0,254.0,15189.0,1718.0,458.0,26303.0,11433.0,291.0,29413.0,16187.0,274.0,48247.0,12165.0,570.0,66824.0,6900.0,1112.0
Non-Hispanic White,Female,2011,37382.0,48120.0,242.0,14314.0,1870.0,346.0,25435.0,11669.0,260.0,28766.0,16105.0,237.0,48640.0,11990.0,604.0,66120.0,6484.0,1047.0
Non-Hispanic White,Female,2010,36125.0,48194.0,206.0,14687.0,1833.0,411.0,25343.0,12107.0,255.0,28856.0,16134.0,260.0,45779.0,11634.0,526.0,63074.0,6486.0,741.0
Non-Hispanic White,Female,2009,35396.0,49498.0,219.0,14216.0,2029.0,337.0,25147.0,12845.0,261.0,28911.0,16448.0,294.0,43636.0,11825.0,463.0,64351.0,6349.0,1012.0
Non-Hispanic White,Female,2008,34517.0,50471.0,209.0,13730.0,2144.0,336.0,25133.0,13391.0,294.0,28244.0,16781.0,274.0,44220.0,11883.0,542.0,60063.0,6270.0,759.0
Non-Hispanic White,Female,2007,34069.0,50353.0,190.0,14779.0,2192.0,412.0,24570.0,13546.0,229.0,28772.0,16746.0,294.0,43150.0,11769.0,439.0,59121.0,6099.0,757.0
Non-Hispanic White,Female,2006,33407.0,49984.0,218.0,15751.0,2857.0,518.0,23805.0,13875.0,210.0,28322.0,16379.0,319.0,43473.0,11534.0,544.0,59458.0,5608.0,1015.0
Non-Hispanic White,Female,2005,31208.0,49661.0,184.0,13837.0,2476.0,336.0,23004.0,13977.0,203.0,26812.0,16899.0,255.0,40562.0,10964.0,513.0,55422.0,5344.0,769.0
Non-Hispanic White,Female,2004,30051.0,49576.0,187.0,13401.0,2551.0,291.0,22631.0,14225.0,274.0,25294.0,16609.0,223.0,39161.0,10805.0,471.0,53927.0,5386.0,902.0
Non-Hispanic White,Female,2003,29613.0,49439.0,178.0,14475.0,2543.0,431.0,22473.0,14605.0,236.0,25499.0,16411.0,241.0,37761.0,10624.0,415.0,53164.0,5253.0,919.0
Non-Hispanic White,Female,2002,28410.0,49712.0,191.0,13163.0,2800.0,287.0,21762.0,15146.0,271.0,24318.0,16222.0,216.0,38049.0,10457.0,579.0,49845.0,5085.0,712.0
Non-Hispanic White,Female,2001,28210.0,49856.0,197.0,14328.0,3062.0,816.0,21301.0,15378.0,313.0,24628.0,16004.0,294.0,36844.0,10512.0,404.0,51756.0,4898.0,930.0
Non-Hispanic White,Female,2000,26315.0,50034.0,158.0,12962.0,3194.0,474.0,19631.0,15498.0,192.0,23038.0,16401.0,199.0,35362.0,10230.0,414.0,49126.0,4710.0,876.0
Non-Hispanic White,Female,1999,24492.0,50068.0,196.0,12283.0,3384.0,829.0,18618.0,16139.0,244.0,21869.0,16067.0,256.0,32687.0,9979.0,563.0,45934.0,4499.0,862.0
Non-Hispanic White,Female,1998,23891.0,49277.0,226.0,10746.0,3336.0,268.0,18568.0,16295.0,305.0,18198.0,15610.0,347.0,31516.0,9840.0,554.0,45805.0,4196.0,1294.0
Black,Both Sexes,2019,46007.0,20774.0,680.0,26661.0,1337.0,1777.0,33518.0,6434.0,849.0,37994.0,6615.0,666.0,60580.0,4189.0,1873.0,90712.0,2196.0,3643.0
Black,Both Sexes,2018,42382.0,20439.0,491.0,23817.0,1466.0,813.0,31675.0,6338.0,663.0,38299.0,6651.0,762.0,54959.0,3837.0,1138.0,76871.0,2145.0,2411.0
Black,Both Sexes,2017,41570.0,20112.0,473.0,23690.0,1329.0,1047.0,31889.0,6293.0,755.0,36777.0,6816.0,763.0,53938.0,3740.0,1172.0,78350.0,1932.0,1798.0
Black,Both Sexes,2016,40767.0,19755.0,552.0,24054.0,1496.0,1189.0,30131.0,6150.0,677.0,34740.0,6841.0,722.0,57409.0,3394.0,1603.0,80903.0,1873.0,3181.0
Black,Both Sexes,2015,39394.0,19150.0,543.0,19783.0,1582.0,590.0,29211.0,6015.0,549.0,34653.0,6606.0,678.0,55506.0,3220.0,1649.0,80976.0,1725.0,3623.0
Black,Both Sexes,2014,37012.0,18657.0,467.0,22353.0,1420.0,1487.0,28439.0,5905.0,590.0,32074.0,6605.0,708.0,51983.0,3084.0,1170.0,72257.0,1642.0,2597.0
Black,Both Sexes,2013,35817.0,18023.0,505.0,21403.0,1590.0,1548.0,26670.0,5689.0,624.0,32137.0,6228.0,670.0,49904.0,2997.0,1570.0,72496.0,1517.0,2686.0
Black,Both Sexes,2012,34800.0,17838.0,396.0,18889.0,1486.0,981.0,26625.0,5639.0,669.0,31730.0,6398.0,562.0,48972.0,2854.0,957.0,68329.0,1459.0,2038.0
Black,Both Sexes,2011,34755.0,17295.0,452.0,17488.0,1613.0,649.0,27562.0,5539.0,732.0,32891.0,5964.0,771.0,45477.0,2796.0,748.0,70140.0,1380.0,2707.0
Black,Both Sexes,2010,32900.0,17016.0,337.0,17849.0,1643.0,638.0,25781.0,5557.0,429.0,30592.0,5969.0,503.0,44502.0,2593.0,718.0,71127.0,1255.0,2487.0
Black,Both Sexes,2009,33362.0,16744.0,381.0,18936.0,1618.0,1108.0,26970.0,5803.0,623.0,30520.0,5577.0,494.0,47799.0,2583.0,883.0,66923.0,1162.0,2442.0
Black,Both Sexes,2008,32874.0,17509.0,362.0,18123.0,1748.0,1293.0,27265.0,6060.0,565.0,30248.0,5933.0,370.0,46527.0,2550.0,957.0,66198.0,1216.0,2491.0
Black,Both Sexes,2007,33333.0,17453.0,389.0,17439.0,1854.0,417.0,27179.0,5996.0,564.0,32787.0,5813.0,820.0,46502.0,2682.0,759.0,64247.0,1107.0,1813.0
Black,Both Sexes,2006,32443.0,17234.0,404.0,17823.0,1943.0,457.0,26368.0,6159.0,588.0,31234.0,5581.0,674.0,47903.0,2503.0,1366.0,64834.0,1045.0,2254.0
Black,Both Sexes,2005,30472.0,17000.0,327.0,17216.0,2025.0,445.0,23904.0,6101.0,325.0,28848.0,5390.0,464.0,47101.0,2412.0,1378.0,63664.0,1071.0,2145.0
Black,Both Sexes,2004,29096.0,16632.0,298.0,17827.0,2044.0,1105.0,23498.0,6139.0,251.0,27779.0,5192.0,453.0,42342.0,2348.0,843.0,65538.0,909.0,2416.0
Black,Both Sexes,2003,28838.0,16389.0,334.0,16201.0,2095.0,391.0,23777.0,5941.0,337.0,27187.0,5119.0,422.0,42968.0,2321.0,1249.0,64164.0,911.0,3341.0
Black,Both Sexes,2002,28179.0,16352.0,329.0,16516.0,2148.0,711.0,22823.0,5822.0,380.0,27626.0,5255.0,505.0,42285.0,2275.0,901.0,59944.0,851.0,3302.0
Black,Both Sexes,2001,27031.0,16683.0,300.0,17248.0,2382.0,1062.0,21743.0,5729.0,260.0,26907.0,5481.0,448.0,40165.0,2212.0,911.0,55771.0,877.0,2320.0
Black,Both Sexes,2000,26204.0,16756.0,260.0,15201.0,2434.0,419.0,21789.0,6020.0,325.0,26324.0,5431.0,351.0,41513.0,2060.0,1198.0,52373.0,809.0,1921.0
Black,Both Sexes,1999,24930.0,17107.0,304.0,13505.0,2451.0,409.0,21008.0,6188.0,418.0,25169.0,5437.0,439.0,37362.0,2155.0,957.0,52516.0,877.0,2718.0
Black,Both Sexes,1998,22829.0,16201.0,264.0,13672.0,2402.0,508.0,19236.0,6053.0,307.0,23927.0,4559.0,413.0,36373.0,1897.0,1005.0,44760.0,764.0,2020.0
Black,Both Sexes,1997,21909.0,15873.0,254.0,13185.0,2437.0,401.0,18980.0,5964.0,322.0,22899.0,4902.0,456.0,32062.0,1846.0,773.0,42791.0,724.0,2139.0
Black,Both Sexes,1996,21978.0,15255.0,485.0,13110.0,2383.0,434.0,18722.0,5844.0,554.0,23628.0,4783.0,1084.0,31955.0,1655.0,1080.0,48731.0,590.0,5269.0
Black,Both Sexes,1995,20537.0,14847.0,374.0,12956.0,2389.0,437.0,17072.0,5453.0,315.0,21824.0,4727.0,885.0,29666.0,1684.0,876.0,46654.0,595.0,3603.0
Black,Both Sexes,1994,19772.0,14754.0,274.0,12705.0,2290.0,463.0,16446.0,5596.0,276.0,19631.0,4610.0,573.0,30938.0,1679.0,907.0,48653.0,579.0,3282.0
Black,Both Sexes,1993,18614.0,14315.0,316.0,11065.0,2352.0,370.0,16122.0,5521.0,584.0,18867.0,4279.0,413.0,29953.0,1638.0,1015.0,41221.0,525.0,2456.0
Black,Both Sexes,1992,17397.0,14087.0,236.0,11091.0,2444.0,394.0,15230.0,5498.0,281.0,17702.0,4151.0,409.0,27365.0,1463.0,916.0,39014.0,530.0,2173.0
Black,Both Sexes,1991,16809.0,13865.0,224.0,11248.0,2860.0,379.0,15060.0,5512.0,301.0,17598.0,3581.0,414.0,25630.0,1383.0,807.0,36735.0,528.0,1730.0
Black,Both Sexes,1990,16627.0,13731.0,186.0,11184.0,2853.0,298.0,14794.0,6049.0,213.0,18209.0,3004.0,411.0,26448.0,1217.0,745.0,32962.0,607.0,1461.0
Black,Both Sexes,1989,16072.0,13600.0,177.0,10066.0,2883.0,266.0,14613.0,5894.0,206.0,17385.0,3008.0,340.0,25357.0,1121.0,779.0,32740.0,694.0,1422.0
Black,Both Sexes,1988,15318.0,13356.0,191.0,10202.0,2970.0,343.0,13835.0,5760.0,236.0,16760.0,2802.0,443.0,23689.0,1204.0,702.0,30802.0,621.0,1346.0
Black,Both Sexes,1987,14136.0,13023.0,171.0,9976.0,3015.0,264.0,12862.0,5699.0,224.0,15491.0,2617.0,363.0,20805.0,1097.0,608.0,29163.0,596.0,1411.0
Black,Both Sexes,1986,13494.0,12729.0,167.0,9365.0,3028.0,282.0,12276.0,5470.0,190.0,14743.0,2662.0,423.0,21403.0,1004.0,810.0,27503.0,564.0,1130.0
Black,Both Sexes,1985,12926.0,12427.0,153.0,9116.0,3009.0,275.0,11791.0,5223.0,192.0,13805.0,2615.0,348.0,20533.0,1046.0,579.0,26246.0,535.0,1254.0
Black,Both Sexes,1984,12002.0,11948.0,131.0,8725.0,3127.0,292.0,10882.0,4927.0,170.0,12890.0,2396.0,277.0,19330.0,937.0,551.0,24072.0,561.0,884.0
Black,Both Sexes,1983,11299.0,11296.0,7867.0,3035.0,10557.0,4692.0,12426.0,2206.0,17207.0,828.0,23506.0,535.0,,,,,,
Black,Both Sexes,1982,10612.0,11081.0,124.0,7799.0,3188.0,227.0,10287.0,4591.0,161.0,11119.0,2067.0,271.0,15152.0,747.0,494.0,22959.0,488.0,1162.0
Black,Both Sexes,1981,10117.0,11088.0,109.0,7520.0,3514.0,208.0,9994.0,4388.0,159.0,11456.0,2078.0,255.0,14587.0,708.0,457.0,19463.0,398.0,788.0
Black,Both Sexes,1980,11085.0,5576.0,170.0,8421.0,2054.0,291.0,11563.0,2119.0,260.0,12393.0,964.0,417.0,15616.0,283.0,739.0,19960.0,353.0,1026.0
Black,Both Sexes,1979,8720.0,10856.0,6424.0,3776.0,187.0,8723.0,4267.0,135.0,9895.0,1826.0,237.0,13473.0,622.0,534.0,18182.0,366.0,872.0,
Black,Both Sexes,1978,7981.0,10420.0,5918.0,3841.0,160.0,8152.0,3944.0,133.0,9026.0,1689.0,230.0,12870.0,557.0,544.0,15076.0,389.0,573.0,
Black,Both Sexes,1977,7271.0,10014.0,5406.0,3946.0,126.0,7553.0,3604.0,116.0,8321.0,1578.0,182.0,11088.0,532.0,342.0,14749.0,354.0,494.0,
Black,Both Sexes,1976,6716.0,9744.0,5304.0,4008.0,127.0,6805.0,3515.0,7331.0,1370.0,184.0,10331.0,547.0,314.0,15013.0,305.0,696.0,,
Black,Both Sexes,1975,6190.0,9368.0,4989.0,3922.0,116.0,6281.0,3495.0,7212.0,1193.0,170.0,9473.0,517.0,280.0,12333.0,241.0,433.0,,
Black,Male,2019,49652.0,9668.0,1100.0,30322.0,714.0,2779.0,36777.0,3426.0,1044.0,42898.0,2911.0,1179.0,67135.0,1863.0,3169.0,109444.0,752.0,8230.0
Black,Male,2018,46402.0,9484.0,858.0,28044.0,754.0,1348.0,36716.0,3358.0,1153.0,44903.0,2887.0,1400.0,58970.0,1740.0,2036.0,85193.0,743.0,5504.0
Black,Male,2017,46085.0,9427.0,778.0,27150.0,656.0,1499.0,36451.0,3406.0,1128.0,41410.0,3002.0,1196.0,61434.0,1628.0,2327.0,92812.0,733.0,3400.0
Black,Male,2016,46686.0,9231.0,983.0,26919.0,769.0,1123.0,34968.0,3235.0,1201.0,39407.0,3004.0,904.0,70026.0,1531.0,3322.0,103465.0,691.0,7434.0
Black,Male,2015,43781.0,8979.0,805.0,23846.0,796.0,916.0,33881.0,3158.0,942.0,39459.0,2874.0,1130.0,63477.0,1466.0,2734.0,88699.0,683.0,5013.0
Black,Male,2014,42454.0,8645.0,826.0,25516.0,746.0,2562.0,32836.0,3036.0,993.0,37116.0,2831.0,1194.0,60458.0,1376.0,2322.0,91652.0,653.0,5327.0
Black,Male,2013,40785.0,8348.0,946.0,26346.0,843.0,2844.0,29893.0,2887.0,1133.0,38126.0,2696.0,1370.0,57304.0,1312.0,3276.0,88641.0,608.0,4822.0
Black,Male,2012,38244.0,8293.0,629.0,19497.0,800.0,697.0,30276.0,2891.0,1085.0,36043.0,2804.0,784.0,53983.0,1210.0,1403.0,81253.0,585.0,4418.0
Black,Male,2011,38633.0,7951.0,777.0,21035.0,812.0,1171.0,31219.0,2811.0,1056.0,38029.0,2654.0,1477.0,49390.0,1155.0,1314.0,85528.0,518.0,5607.0
Black,Male,2010,35828.0,7801.0,534.0,19893.0,884.0,1023.0,29560.0,2888.0,755.0,34405.0,2479.0,845.0,48560.0,1067.0,1280.0,81674.0,483.0,3838.0
Black,Male,2009,37553.0,7657.0,666.0,21828.0,861.0,2019.0,30723.0,2996.0,975.0,35889.0,2301.0,1011.0,55655.0,1030.0,1812.0,78574.0,467.0,3947.0
Black,Male,2008,36057.0,8116.0,640.0,22344.0,866.0,2544.0,30985.0,3166.0,1003.0,34209.0,2505.0,676.0,51691.0,1059.0,1668.0,73948.0,518.0,3989.0
Black,Male,2007,35668.0,8088.0,412.0,19705.0,985.0,611.0,29640.0,2994.0,501.0,34035.0,2492.0,617.0,53029.0,1155.0,1179.0,74351.0,459.0,3275.0
Black,Male,2006,36045.0,7932.0,621.0,21294.0,982.0,715.0,30122.0,3067.0,889.0,34750.0,2334.0,1037.0,52569.0,1086.0,1910.0,74507.0,460.0,4518.0
Black,Male,2005,34165.0,7836.0,609.0,19890.0,1056.0,711.0,27360.0,3050.0,551.0,33544.0,2273.0,915.0,52070.0,1011.0,2998.0,77210.0,444.0,4358.0
Black,Male,2004,33020.0,7669.0,550.0,22796.0,1030.0,2143.0,26608.0,3120.0,394.0,32367.0,2176.0,913.0,47746.0,957.0,1534.0,79168.0,387.0,4897.0
Black,Male,2003,32545.0,7469.0,519.0,17915.0,1039.0,539.0,28102.0,2910.0,543.0,31556.0,2156.0,732.0,45635.0,966.0,1138.0,76871.0,397.0,6553.0
Black,Male,2002,31790.0,7483.0,600.0,19294.0,1072.0,1364.0,25582.0,2832.0,487.0,32764.0,2283.0,1034.0,47018.0,974.0,1589.0,75050.0,321.0,7972.0
Black,Male,2001,30502.0,7727.0,487.0,18543.0,1210.0,656.0,25037.0,2759.0,430.0,31084.0,2457.0,887.0,46511.0,943.0,1767.0,67007.0,356.0,5050.0
Black,Male,2000,30109.0,7700.0,478.0,17992.0,1235.0,717.0,25219.0,2942.0,504.0,30966.0,2291.0,686.0,49270.0,880.0,2526.0,60207.0,349.0,3911.0
Black,Male,1999,28533.0,8032.0,487.0,16109.0,1258.0,649.0,25680.0,3024.0,754.0,28278.0,2388.0,692.0,42170.0,993.0,1563.0,59255.0,368.0,4091.0
Black,Male,1998,26090.0,7488.0,444.0,16013.0,1190.0,744.0,22698.0,2974.0,480.0,26586.0,2215.0,707.0,42539.0,792.0,1889.0,51198.0,318.0,4289.0
Black,Male,1997,25080.0,7370.0,428.0,15423.0,1304.0,647.0,22440.0,2862.0,517.0,27215.0,2108.0,847.0,35792.0,818.0,1243.0,49940.0,278.0,4564.0
Black,Male,1996,25067.0,7125.0,785.0,15461.0,1290.0,648.0,22267.0,2836.0,1034.0,26365.0,2047.0,1442.0,35558.0,700.0,1664.0,65981.0,253.0,11509.0
Black,Male,1995,23876.0,7090.0,718.0,14877.0,1280.0,652.0,19514.0,2812.0,443.0,26846.0,2047.0,1948.0,36026.0,659.0,1815.0,57186.0,293.0,6801.0
Black,Male,1994,22614.0,7009.0,445.0,15984.0,1191.0,770.0,18527.0,2818.0,413.0,23748.0,1959.0,844.0,34073.0,758.0,1628.0,52829.0,281.0,5010.0
Black,Male,1993,21108.0,6833.0,518.0,13074.0,1305.0,574.0,18668.0,2775.0,903.0,21734.0,1804.0,691.0,35147.0,721.0,1811.0,47372.0,228.0,4974.0
Black,Male,1992,19317.0,6922.0,385.0,12748.0,1439.0,587.0,16963.0,2744.0,431.0,20550.0,1835.0,695.0,30920.0,657.0,1662.0,43795.0,246.0,4318.0
Black,Male,1991,18607.0,6830.0,345.0,12845.0,1624.0,531.0,17352.0,2731.0,465.0,19974.0,1571.0,712.0,26075.0,650.0,1176.0,41313.0,255.0,3050.0
Black,Male,1990,18859.0,6781.0,300.0,13031.0,1563.0,430.0,17046.0,3013.0,332.0,21152.0,1372.0,708.0,29471.0,564.0,1291.0,39104.0,269.0,2888.0
Black,Male,1989,18108.0,6654.0,283.0,11827.0,1614.0,355.0,16658.0,2848.0,328.0,20253.0,1352.0,566.0,27493.0,515.0,1201.0,38166.0,326.0,2655.0
Black,Male,1988,17782.0,6593.0,326.0,12439.0,1671.0,529.0,16345.0,2795.0,404.0,19265.0,1311.0,818.0,28506.0,533.0,1220.0,36452.0,283.0,2650.0
Black,Male,1987,16171.0,6505.0,283.0,11899.0,1711.0,375.0,14800.0,2769.0,374.0,18081.0,1250.0,612.0,23345.0,482.0,1091.0,34073.0,294.0,2645.0
Black,Male,1986,15441.0,6326.0,256.0,11248.0,1691.0,409.0,14214.0,2666.0,294.0,17419.0,1226.0,693.0,23412.0,480.0,1161.0,31054.0,263.0,2035.0
Black,Male,1985,14932.0,6237.0,254.0,10802.0,1716.0,396.0,13721.0,2572.0,308.0,16415.0,1230.0,628.0,23818.0,477.0,1072.0,31947.0,243.0,2484.0
Black,Male,1984,13560.0,5899.0,212.0,10216.0,1780.0,374.0,12382.0,2339.0,280.0,14960.0,1106.0,471.0,21986.0,424.0,961.0,27893.0,250.0,1670.0
Black,Male,1983,12789.0,5707.0,205.0,9094.0,1768.0,339.0,11956.0,2312.0,265.0,15113.0,996.0,500.0,20370.0,363.0,1033.0,25466.0,268.0,1470.0
Black,Male,1982,12203.0,5535.0,203.0,9153.0,1798.0,340.0,11952.0,2213.0,268.0,12926.0,953.0,458.0,17658.0,319.0,861.0,26452.0,253.0,2006.0
Black,Male,1981,11937.0,5651.0,174.0,9266.0,1925.0,318.0,11905.0,2191.0,261.0,13740.0,1002.0,432.0,16624.0,327.0,776.0,21082.0,205.0,1197.0
Black,Male,1980,11085.0,5576.0,170.0,8421.0,2054.0,291.0,11563.0,2119.0,260.0,12393.0,964.0,417.0,15616.0,283.0,739.0,23346.0,156.0,1986.0
Black,Male,1979,10403.0,5581.0,157.0,7938.0,2138.0,278.0,10662.0,2087.0,225.0,11971.0,931.0,384.0,16161.0,259.0,1071.0,21092.0,166.0,1673.0
Black,Male,1978,9651.0,5350.0,147.0,7423.0,2156.0,233.0,9869.0,1982.0,219.0,11197.0,770.0,409.0,16009.0,260.0,944.0,18083.0,181.0,1031.0
Black,Male,1977,8710.0,5220.0,110.0,6648.0,2230.0,187.0,9332.0,1770.0,184.0,10023.0,799.0,300.0,12978.0,234.0,641.0,16385.0,188.0,808.0
Black,Male,1976,7991.0,5156.0,105.0,6670.0,2289.0,187.0,8056.0,1766.0,155.0,8688.0,726.0,300.0,12246.0,233.0,597.0,17859.0,143.0,1388.0
Black,Male,1975,7541.0,4864.0,6364.0,2247.0,173.0,7847.0,1684.0,138.0,8505.0,599.0,267.0,11318.0,213.0,572.0,13720.0,121.0,702.0,
Black,Female,2019,42835.0,11106.0,784.0,22460.0,622.0,1953.0,29807.0,3008.0,1277.0,34140.0,3704.0,687.0,55329.0,2326.0,2074.0,80946.0,1444.0,3237.0
Black,Female,2018,38901.0,10954.0,516.0,19333.0,711.0,785.0,25994.0,2980.0,512.0,33234.0,3764.0,765.0,51630.0,2097.0,1169.0,72456.0,1401.0,2163.0
