Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table A-3.  Mean Earnings of Workers 18 Years and Over, by Educational Attainment, Race, Hispanic Origin, and Sex:  1975 to 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Mean annual earnings [dollars].  Total number with earnings in thousands.  Standard error of the mean.  Noninstitutionalized population.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Race, sex, and earnings year",,,Total,,,Not a high school graduate,,,High school graduate,,,Some college/associate's degree,,,Bachelor's degree,,,Advanced degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"51,287","67,464",292,"23,353","7,426",408,"36,418","20,855",306,"42,884","18,273",402,"71,286","13,740",770,"106,571","7,168","1,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"52,672","68,816",295,"25,386","8,113",477,"37,852","20,899",333,"43,463","18,849",374,"75,053","13,596",835,"107,099","7,356","1,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"51,781","69,099",285,"25,886","8,170",453,"38,214","21,129",350,"42,903","18,995",332,"73,477","13,577",790,"103,293","7,227","1,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"51,013","68,752",305,"24,579","8,932",324,"38,833","21,090",449,"42,684","18,340",403,"71,735","13,326",831,"103,340","7,063","1,555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"49,611","67,874",309,"23,556","8,582",285,"36,753","20,914",355,"42,206","18,583",444,"69,852","12,900",857,"103,144","6,893","1,747",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"47,389","66,714",282,"22,596","8,592",374,"35,362","20,761",344,"40,617","18,005",351,"65,583","12,582",709,"99,899","6,774","1,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"46,114","66,199",266,"21,791","8,500",251,"34,224","20,238",276,"39,594","18,060",375,"65,264","12,665",800,"94,017","6,734","1,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"45,793","66,202",273,"22,539","8,841",416,"33,920","20,156",321,"39,605","18,068",414,"65,439","12,512",787,"92,733","6,623","1,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"45,071","66,216",279,"22,006","8,833",400,"33,545","20,465",319,"38,501","17,957",344,"65,046","12,396",838,"92,304","6,562","1,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"44,181","66,222",282,"21,561","8,859",431,"32,528","20,553",253,"38,476","18,179",398,"64,831","12,271",880,"89,812","6,359","1,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"41,622","65,134",341,"19,279","8,549",300,"31,289","20,579",320,"36,757","17,831",538,"59,672","11,869",983,"85,405","6,307","2,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"39,638","64,181",341,"19,632","8,430",490,"29,782","20,388",359,"35,277","17,407",588,"56,620","11,874","1,001","79,734","6,083","1,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1997,"37,933","63,738",347,"20,071","8,670",563,"29,298","20,426",402,"33,691","17,423",571,"51,678","11,340",920,"80,322","5,879","2,023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1996,"35,821","63,532",320,"18,246","8,899",514,"28,591","20,329",405,"32,238","17,418",534,"48,014","11,065",800,"75,481","5,821","1,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,"34,276","62,520",298,"17,032","8,660",338,"27,467","19,982",403,"30,529","17,136",451,"47,016","10,851",852,"70,155","5,891","1,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,"33,292","62,029",283,"16,835","8,133",547,"26,125","19,833",330,"28,240","17,091",361,"47,575","10,992",880,"67,629","5,979","1,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1993,"31,719","61,356",270,"15,295","8,430",265,"24,781","19,835",264,"27,297","16,959",334,"44,505","10,452",722,"70,000","5,680","1,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1992,"29,201","61,270",180,"15,180","8,776",245,"23,677","20,333",199,"26,095","16,468",274,"40,802","10,040",511,"59,297","5,651","1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991,"28,516","60,770",171,"15,499","8,720",271,"23,475","20,765",187,"26,090","15,873",279,"39,547","9,893",490,"55,256","5,519",924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,"28,105","60,676",167,"15,319","9,476",168,"23,135","23,088",174,"26,841","13,003",317,"39,780","8,770",546,"50,385","6,731",798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1989,"28,013","60,877",171,"15,217","9,805",165,"23,291","23,029",191,"26,260","12,582",303,"39,654","8,750",553,"51,031","6,710",831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1988,"26,184","60,221",160,"14,943","10,008",175,"22,216","22,707",181,"24,462","12,277",310,"36,637","8,467",521,"46,181","6,762",728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1987,"24,898","59,468",152,"15,303","10,132",202,"21,012","22,682",162,"23,310","11,771",295,"34,865","8,384",510,"43,440","6,499",702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1986,"23,892","58,932",131,"14,168","10,239",183,"20,128","22,392",143,"22,303","11,846",248,"34,273","8,041",437,"42,480","6,413",618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985,"22,604","58,385",122,"13,579","10,163",158,"19,203","22,357",136,"21,240","11,831",224,"32,165","7,970",416,"40,358","6,064",580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1984,"21,174","57,362",100,"13,248","10,280",148,"18,681","21,989",125,"19,344","11,387",193,"29,781","7,624",321,"36,219","6,081",423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983,"19,812","56,641",96,"12,573","10,387",140,"17,281","21,733",117,"18,388","10,974",202,"27,726","7,379",309,"33,981","6,168",409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1982,"18,859","56,364",92,"11,952","10,816",129,"16,662","21,436",116,"17,571","10,822",186,"26,404","7,242",302,"32,266","6,047",406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1981,"18,141","56,397",86,"12,094","11,523",142,"16,352","21,809",109,"17,303","10,448",184,"24,943","6,824",289,"30,396","5,794",393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,"16,945","55,772",79,"11,539","11,937",114,"15,382","21,453",99,"16,313","10,400",171,"23,803","6,618",286,"27,991","5,363",373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1979,"15,971","55,556",76,"11,127","12,291",109,"13,916","20,834",94,"15,043","10,572",157,"21,785","6,464",271,"26,645","5,395",374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1978,"14,627","54,113",72,"10,358","12,141",103,"13,534","20,328",91,"13,589","10,350",146,"20,085","6,205",263,"24,635","5,088",369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,"13,329","53,174",60,"9,366","12,903",86,"12,377","19,773",74,"12,657","9,853",131,"18,521","5,941",219,"23,093","4,704",325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1976,"12,342","52,312",56,"8,867","13,117",85,"11,497","19,446",69,"11,616","9,394",130,"16,995","5,765",194,"21,490","4,589",314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1975,"11,448","51,510",53,"8,110","13,191",77,"10,726","19,361",69,"11,028","9,096",119,"16,079","5,587",197,"19,858","4,275",295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"48,440","60,356",441,"20,973","3,258",650,"31,754","13,124",438,"36,933","18,032",537,"59,309","16,417",894,"83,885","9,523","1,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"45,531","59,684",372,"19,024","3,371",440,"31,228","13,441",558,"33,968","17,996",465,"58,494","15,690",879,"76,703","9,185","1,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"43,749","58,847",290,"18,270","3,419",354,"30,089","13,374",492,"33,390","18,023",375,"54,436","15,213",585,"77,089","8,816","1,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"42,098","58,744",279,"19,807","3,360",840,"27,929","13,549",301,"32,911","18,530",358,"52,669","14,814",612,"75,138","8,490","1,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"40,112","58,680",262,"17,379","3,649",486,"27,440","13,535",357,"31,966","18,781",346,"50,759","14,332",591,"70,520","8,382","1,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"37,971","57,761",234,"18,129","3,695",791,"26,965","13,800",401,"30,718","18,401",347,"47,954","13,904",460,"65,599","7,959",845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"37,222","57,515",260,"16,718","3,446",479,"27,097","13,949",463,"29,622","18,658",368,"47,565","13,755",484,"64,670","7,704","1,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"36,404","57,409",223,"15,250","3,682",268,"25,487","14,107",247,"28,861","18,881",244,"47,596","13,383",535,"66,934","7,355","1,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"35,635","56,892",214,"14,541","3,974",209,"24,793","14,279",223,"28,383","18,581",222,"48,064","13,117",567,"65,952","6,940","1,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"34,521","56,728",184,"14,799","3,857",251,"24,648","14,603",220,"28,400","18,590",234,"45,200","12,735",498,"63,046","6,943",732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"34,040","57,687",199,"15,187","4,080",417,"24,615","15,270",233,"28,573","16,762",279,"43,309","12,855",434,"64,441","6,718",993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"33,115","58,735",185,"14,370","4,265",227,"24,610","15,919",255,"27,859","19,041",248,"43,848","12,891",512,"59,877","6,616",736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"32,899","58,313",172,"15,278","4,192",343,"24,276","15,929",214,"28,466","18,993",271,"42,846","12,733",414,"59,006","6,464",726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"32,148","57,818",195,"15,483","4,650",437,"23,334","16,272",186,"28,069","18,537",296,"43,142","12,437",512,"59,141","5,920",974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"30,125","56,995",165,"14,086","4,575",228,"22,590","16,208",183,"26,547","18,825",234,"40,344","11,751",484,"55,461","5,634",744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"29,018","56,738",169,"13,461","4,698",192,"22,296","16,354",243,"25,140","18,546",205,"38,950","11,479",457,"53,910","5,661",879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"28,591","56,400",162,"14,149","4,593",310,"22,028","16,712",211,"25,177","18,258",222,"37,739","11,344",410,"53,102","5,492",889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"27,512","56,496",165,"13,354","4,898",286,"21,388","17,224",226,"24,101","17,954",200,"37,903","11,126",526,"50,270","5,293",754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"27,240","56,714",181,"14,197","5,178",596,"20,866","17,503",278,"24,387","17,764",276,"36,698","11,135",407,"51,499","5,131",895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"25,441","56,816",148,"12,823","5,313",458,"19,330","17,579",173,"22,790","18,155",184,"35,273","10,838",413,"48,982","4,929",849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"23,778","56,385",186,"12,463","5,364",764,"18,400","18,044",226,"21,655","17,744",240,"32,510","10,513",539,"45,722","4,720",832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"23,213","55,020",211,"11,255","5,102",498,"18,327","18,009",280,"21,246","17,132",321,"31,406","10,393",536,"45,462","4,384","1,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1997,"21,779","54,247",189,"10,700","5,111",527,"17,166","17,983",207,"19,892","16,852",325,"30,041","10,188",523,"43,236","4,114",967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1996,"20,590","53,697",161,"10,290","5,073",210,"16,270","18,134",178,"18,482","16,669",185,"28,667","9,781",467,"42,049","4,041","1,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,"19,647","53,117",164,"9,582","5,208",239,"16,196","17,820",304,"18,011","16,714",246,"26,916","9,352",383,"37,864","4,022",709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,"18,912","52,557",163,"9,220","4,987",192,"15,078","17,729",168,"16,998","16,915",225,"26,198","8,925",525,"39,816","4,002","1,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1993,"18,028","51,986",154,"9,624","5,050",606,"14,557","17,991",174,"16,490","16,769",168,"25,161","8,470",501,"36,988","3,705",967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1992,"17,194","51,137",110,"9,363","5,087",213,"14,184","18,370",135,"16,018","15,695",170,"23,670","8,382",309,"33,655","3,602",691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991,"16,431","51,072",103,"8,677","5,321",174,"13,621","19,004",124,"15,677","15,104",166,"22,469","8,143",288,"32,685","3,501",645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,"15,559","50,905",94,"8,725","5,715",186,"13,031","21,547",113,"14,922","12,102",165,"21,725","7,223",294,"28,694","4,318",486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1989,"14,810","50,366",91,"8,338","5,823",182,"12,406","21,697",107,"14,640","11,630",170,"20,741","6,973",272,"26,709","4,242",510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1988,"13,902","49,938",93,"7,747","6,034",184,"11,915","21,692",110,"13,898","11,366",198,"19,169","6,754",274,"24,824","4,092",488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1987,"13,161","48,939",89,"7,798","6,033",190,"11,421","21,553",110,"13,015","11,312",167,"18,170","6,240",289,"23,753","3,801",482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1986,"12,247","47,452",72,"7,123","5,855",181,"10,641","21,201",84,"11,964","10,807",140,"17,418","6,014",245,"22,320","3,574",397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985,"11,555","46,433",70,"6,931","5,986",172,"10,142","20,990",82,"11,488","10,300",148,"15,883","5,700",229,"21,202","3,458",357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1984,"10,732","45,660",61,"6,614","6,279",175,"9,561","20,558",74,"10,504","10,064",119,"14,617","5,432",209,"20,092","3,328",332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983,"10,126","44,394",(NA),"6,317","6,181",(NA),"9,150","20,274",(NA),"9,969","9,478",(NA),"13,664","5,198",(NA),"18,230","3,262",(NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1982,"9,419","43,124",55,"5,896","6,316",135,"8,714","19,721",72,"9,336","9,145",117,"12,352","4,861",181,"16,779","3,080",287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1981,"8,646","43,113",48,"5,727","6,775",148,"8,054","20,271",61,"8,740","8,654",107,"11,196","4,626",167,"15,523","2,788",279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,"7,926","42,586",45,"6,675","6,988",127,"7,415","20,147",57,"8,221","8,488",108,"10,447","4,449",159,"13,809","2,513",253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1979,"7,105","41,988",41,"4,909","7,213",110,"6,731","19,624",51,"7,135","8,263",96,"9,275","4,343",145,"12,420","2,545",243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1978,"6,398","39,889",38,"4,476","7,375",138,"6,176","18,587",49,"6,342","7,672",85,"8,231","3,966",131,"11,404","2,288",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,"5,808","38,080",32,"4,097","7,589",95,"5,604","17,748",41,"5,774","7,115",73,"7,750","3,593",123,"10,655","2,035",203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1976,"5,383","36,787",31,"3,788","7,508",86,"5,214","17,077",40,"5,250","6,733",74,"7,262","3,560",109,"10,131","1,909",207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1975,"4,982","35,384",28,"3,500","7,505",80,"4,800","16,438",36,"4,926","6,327",65,"6,822","3,368",105,"9,728","1,746",199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hispanic White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"64,433","103,533",457,"30,069","3,494",975,"42,902","24,523",461,"48,628","29,687",575,"77,313","29,097",920,"108,813","16,731","1,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"61,057","103,357",403,"27,707","3,784","1,018","42,466","25,039",514,"45,772","29,939",575,"74,950","28,312",851,"101,350","16,281","1,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"58,601","103,373",294,"27,145","4,032",654,"41,289","25,484",436,"43,996","30,141",369,"71,054","27,773",573,"100,150","15,941","1,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"56,574","103,334",286,"27,014","3,981",789,"39,265","25,971",365,"42,932","30,953",362,"70,220","26,916",631,"96,689","15,510","1,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"54,352","103,957",275,"26,974","4,394",808,"38,588","25,921",369,"40,812","31,693",320,"67,636","26,508",629,"93,599","15,438","1,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"52,171","102,756",262,"29,080","4,344","1,286","36,826","26,583",324,"40,487","31,236",368,"64,462","25,783",552,"89,735","14,808","1,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"50,604","102,814",293,"26,750","4,136","1,249","35,595","27,119",329,"38,371","31,688",363,"61,913","25,437",589,"92,569","14,432","1,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"49,981","102,974",244,"23,126","4,503",653,"35,399","26,822",318,"37,942","32,362",295,"62,537","25,246",523,"91,627","14,039","1,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"49,147","102,365",234,"22,642","4,849",531,"35,365","27,313",348,"36,992","31,780",251,"62,389","24,891",486,"90,659","13,529","1,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"47,033","102,462",208,"22,584","4,822",702,"33,360","28,045",274,"36,079","31,698",232,"60,257","24,425",488,"86,040","13,473",888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"45,939","105,137",210,"21,229","5,216",551,"32,562","29,860",234,"36,249","32,430",264,"58,487","24,533",485,"86,770","13,095",994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"46,179","107,294",208,"21,765","5,798",461,"33,159","30,598",258,"36,158","33,221",247,"60,866","24,445",532,"85,017","13,230",912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"45,542","107,434",200,"23,015","5,908",524,"33,094","30,855",249,"36,290","33,431",238,"59,727","24,366",497,"82,900","12,871",930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"44,813","106,828",216,"22,206","6,876",348,"32,931","31,345",295,"35,872","32,403",274,"58,917","23,855",540,"83,785","12,347","1,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"42,963","106,337",213,"21,134","6,603",347,"31,445","31,484",248,"34,866","33,355",279,"56,462","23,013",545,"82,205","11,879","1,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"40,943","105,506",195,"19,742","6,755",414,"30,197","31,793",241,"33,217","32,560",227,"53,411","22,545",459,"79,355","11,853","1,073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"40,094","105,214",185,"19,769","6,768",303,"29,571","31,831",206,"32,825","32,460",234,"52,856","22,474",495,"76,200","11,680",931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"39,220","105,706",199,"19,423","7,380",353,"28,756","32,365",240,"32,318","32,344",250,"53,185","22,221",551,"74,122","11,395",882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"38,711","106,384",195,"19,659","7,812",466,"28,426","33,050",241,"31,905","32,118",240,"52,300","22,204",514,"74,932","11,198","1,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"37,346","106,709",187,"19,147","7,957",468,"27,122","33,231",180,"31,217","32,836",243,"51,351","21,824",528,"72,356","10,859","1,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"35,010","106,139",229,"17,098","8,171",444,"25,924","33,983",229,"29,765","32,155",326,"47,480","21,261",619,"68,946","10,569","1,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"33,336","105,523",229,"16,837","8,488",379,"24,801","34,344",249,"23,897","31,459",364,"45,342","21,175",630,"65,461","10,059","1,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"75,888","54,723",660,"34,672","2,235","1,176","49,578","14,670",624,"58,996","15,056",863,"93,400","14,709","1,385","134,870","8,051","2,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"72,737","54,698",640,"33,657","2,360","1,538","49,509","14,761",714,"56,700","15,278",987,"90,455","14,407","1,364","126,583","7,890","2,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
